BITSKINS.sellOrder.original.price,BITSKINS.sellOrder.original.currency,BITSKINS.sellOrder.converted.price,BITSKINS.sellOrder.converted.currency,BITSKINS.sellOrder.count,BITSKINS.buyOrder,BITSKINS.updatedAt,SKINBARON.sellOrder.original.price,SKINBARON.sellOrder.original.currency,SKINBARON.sellOrder.converted.price,SKINBARON.sellOrder.converted.currency,SKINBARON.sellOrder.count,SKINBARON.buyOrder,SKINBARON.updatedAt,SKINPORT.sellOrder.original.price,SKINPORT.sellOrder.original.currency,SKINPORT.sellOrder.converted.price,SKINPORT.sellOrder.converted.currency,SKINPORT.sellOrder.count,SKINPORT.buyOrder,SKINPORT.updatedAt,CSFLOAT.sellOrder.original.price,CSFLOAT.sellOrder.original.currency,CSFLOAT.sellOrder.converted.price,CSFLOAT.sellOrder.converted.currency,CSFLOAT.sellOrder.count,CSFLOAT.buyOrder,CSFLOAT.updatedAt,MARKETCSGO.sellOrder.original.price,MARKETCSGO.sellOrder.original.currency,MARKETCSGO.sellOrder.converted.price,MARKETCSGO.sellOrder.converted.currency,MARKETCSGO.sellOrder.count,MARKETCSGO.buyOrder,MARKETCSGO.updatedAt,BUFF163.sellOrder.original.price,BUFF163.sellOrder.original.currency,BUFF163.sellOrder.converted.price,BUFF163.sellOrder.converted.currency,BUFF163.sellOrder.count,BUFF163.buyOrder.original.price,BUFF163.buyOrder.original.currency,BUFF163.buyOrder.converted.price,BUFF163.buyOrder.converted.currency,BUFF163.buyOrder.count,BUFF163.updatedAt,CSMONEY.sellOrder.original.price,CSMONEY.sellOrder.original.currency,CSMONEY.sellOrder.converted.price,CSMONEY.sellOrder.converted.currency,CSMONEY.sellOrder.count,CSMONEY.buyOrder,CSMONEY.updatedAt,DMARKET.sellOrder.original.price,DMARKET.sellOrder.original.currency,DMARKET.sellOrder.converted.price,DMARKET.sellOrder.converted.currency,DMARKET.sellOrder.count,DMARKET.buyOrder.original.price,DMARKET.buyOrder.original.currency,DMARKET.buyOrder.converted.price,DMARKET.buyOrder.converted.currency,DMARKET.buyOrder.count,DMARKET.updatedAt
0.91,USD,0.91,USD,129,,2024-04-14T15:19:43.780Z,0.69,EUR,0.74,USD,501,,2024-04-14T15:59:16.803Z,0.99,EUR,1.05,USD,211,,2024-04-14T16:03:09.408Z,0.99,USD,0.99,USD,1,,2024-04-05T05:46:05.596Z,0.95,USD,0.95,USD,95,,2024-04-14T16:05:05.870Z,5.11,CNY,0.7,USD,20,5,CNY,0.69,USD,87,2024-04-14T15:58:37.967Z,0.93,USD,0.93,USD,1,,2024-04-14T15:57:36.656Z,1.01,USD,1.01,USD,285,0.96,USD,0.96,USD,14,2024-04-14T16:02:22.792Z
5.75,USD,5.75,USD,18,,2024-04-14T15:15:17.944Z,4.6,EUR,4.91,USD,46,,2024-04-14T16:02:31.064Z,4.75,EUR,5.05,USD,159,,2024-04-14T16:03:09.408Z,4.51,USD,4.51,USD,21,,2024-04-14T16:01:05.092Z,5.72,USD,5.72,USD,53,,2024-04-14T16:05:05.870Z,35,CNY,4.83,USD,782,34.2,CNY,4.72,USD,235,2024-04-14T15:58:07.245Z,2.54,USD,2.54,USD,52,,2024-04-14T15:51:50.338Z,4.91,USD,4.91,USD,29,4.27,USD,4.27,USD,22,2024-04-14T16:02:17.248Z
0.17,USD,0.17,USD,6761,,2024-04-14T15:11:30.772Z,0.18,EUR,0.19,USD,4124,,2024-04-14T15:59:16.803Z,0.22,EUR,0.23,USD,589,,2024-04-14T16:03:09.408Z,0.19,USD,0.19,USD,29,,2024-04-14T16:01:05.092Z,0.24,USD,0.24,USD,186,,2024-04-14T16:05:05.870Z,1.45,CNY,0.2,USD,5040,1.2,CNY,0.16,USD,1955,2024-04-14T15:58:22.558Z,0.22,USD,0.22,USD,167,,2024-04-14T15:53:02.801Z,0.4,USD,0.4,USD,164,0.25,USD,0.25,USD,24,2024-04-14T16:02:11.614Z
0.22,USD,0.22,USD,6821,,2024-04-14T15:19:17.552Z,0.22,EUR,0.23,USD,6567,,2024-04-14T15:59:16.803Z,0.27,EUR,0.29,USD,856,,2024-04-14T16:03:09.408Z,0.28,USD,0.28,USD,115,,2024-04-14T16:01:05.092Z,0.26,USD,0.26,USD,267,,2024-04-14T16:05:05.870Z,1.68,CNY,0.23,USD,5442,1.6,CNY,0.22,USD,1543,2024-04-14T15:59:39.222Z,0.27,USD,0.27,USD,201,,2024-04-14T15:51:54.264Z,0.49,USD,0.49,USD,1076,0.49,USD,0.49,USD,28,2024-04-14T16:02:22.628Z
0.18,USD,0.18,USD,13188,,2024-04-14T15:20:26.111Z,0.18,EUR,0.19,USD,5852,,2024-04-14T15:59:16.803Z,0.26,EUR,0.28,USD,655,,2024-04-14T16:03:09.408Z,2,USD,2,USD,1,,2024-04-14T16:01:05.092Z,0.24,USD,0.24,USD,632,,2024-04-14T16:05:05.870Z,1.3,CNY,0.17,USD,13541,1.2,CNY,0.16,USD,2238,2024-04-14T15:59:23.795Z,0.22,USD,0.22,USD,358,,2024-04-14T15:53:18.739Z,0.35,USD,0.35,USD,782,0.36,USD,0.36,USD,55,2024-04-14T16:02:23.711Z
1.02,USD,1.02,USD,6,,2024-04-14T15:21:32.915Z,1.34,EUR,1.43,USD,16,,2024-04-14T15:59:16.803Z,1.25,EUR,1.33,USD,1,,2024-04-14T16:03:09.408Z,0.78,USD,0.78,USD,2,,2024-03-29T00:00:11.984Z,0.86,USD,0.86,USD,95,,2024-04-14T16:05:05.870Z,5.41,CNY,0.74,USD,521,5.2,CNY,0.71,USD,349,2024-04-14T15:54:57.627Z,1.2,USD,1.2,USD,4,,2024-04-03T06:37:40.384Z,0.94,USD,0.94,USD,316,0.83,USD,0.83,USD,5,2024-04-14T16:02:26.329Z
6.25,USD,6.25,USD,256,,2024-04-14T15:12:39.972Z,6.59,EUR,7.03,USD,46,,2024-04-14T16:02:31.064Z,5.94,EUR,6.31,USD,421,,2024-04-14T16:03:09.408Z,6.18,USD,6.18,USD,31,,2024-04-14T16:01:05.092Z,6.4,USD,6.4,USD,71,,2024-04-14T16:05:05.870Z,46.68,CNY,6.45,USD,466,44,CNY,6.08,USD,231,2024-04-14T16:04:02.903Z,6.66,USD,6.66,USD,30,,2024-04-14T15:51:52.395Z,6.94,USD,6.94,USD,44,6.75,USD,6.75,USD,36,2024-04-14T16:02:12.719Z
7.2,USD,7.2,USD,17,,2024-04-14T15:12:38.268Z,12.98,EUR,13.85,USD,6,,2024-04-14T15:59:16.803Z,5.99,EUR,6.37,USD,45,,2024-04-14T16:03:09.408Z,,,,,,,,5.68,USD,5.68,USD,27,,2024-04-14T16:05:05.870Z,43.4,CNY,5.99,USD,110,41,CNY,5.66,USD,28,2024-04-14T15:58:37.967Z,6.04,USD,6.04,USD,3,,2024-04-14T15:51:53.172Z,5.74,USD,5.74,USD,33,5.42,USD,5.42,USD,9,2024-04-14T16:02:13.643Z
14.76,USD,14.76,USD,12,,2024-04-14T15:21:24.547Z,15.36,EUR,16.39,USD,3,,2024-04-14T16:04:07.328Z,16,EUR,17.01,USD,4,,2024-04-14T16:03:09.408Z,14.23,USD,14.23,USD,20,,2024-04-14T16:01:05.092Z,17.02,USD,17.02,USD,38,,2024-04-14T16:05:05.870Z,109.78,CNY,15.17,USD,87,107,CNY,14.78,USD,18,2024-04-14T15:55:43.989Z,13.52,USD,13.52,USD,37,,2024-04-14T16:04:39.007Z,14.36,USD,14.36,USD,31,13.89,USD,13.89,USD,48,2024-04-14T16:02:25.729Z
88.3,USD,88.3,USD,15,,2024-04-14T15:21:05.091Z,84,EUR,89.64,USD,36,,2024-04-14T16:04:07.328Z,79,EUR,83.98,USD,37,,2024-04-14T16:03:09.408Z,86.91,USD,86.91,USD,46,,2024-04-14T16:01:05.092Z,90.87,USD,90.87,USD,14,,2024-04-14T16:05:05.870Z,612,CNY,84.57,USD,424,1400,CNY,193.46,USD,86,2024-04-14T15:54:41.833Z,99.19,USD,99.19,USD,26,,2024-04-14T16:04:39.016Z,84.54,USD,84.54,USD,24,118.29,USD,118.29,USD,32,2024-04-14T16:02:24.936Z
