Item,Platform,OrderType,ConvertedPrice,ConvertedCurrency,Count,UpdatedAt
10 Year Birthday Sticker Capsule,BITSKINS,sellOrder,0.91,USD,129,2024-04-14T15:19:43.780Z
10 Year Birthday Sticker Capsule,SKINBARON,sellOrder,0.74,USD,501,2024-04-14T15:59:16.803Z
10 Year Birthday Sticker Capsule,SKINPORT,sellOrder,1.05,USD,211,2024-04-14T16:03:09.408Z
10 Year Birthday Sticker Capsule,CSFLOAT,sellOrder,0.99,USD,1,2024-04-05T05:46:05.596Z
10 Year Birthday Sticker Capsule,MARKETCSGO,sellOrder,0.95,USD,95,2024-04-14T16:05:05.870Z
10 Year Birthday Sticker Capsule,BUFF163,sellOrder,0.7,USD,20,2024-04-14T15:58:37.967Z
10 Year Birthday Sticker Capsule,BUFF163,buyOrder,0.69,USD,87,2024-04-14T15:58:37.967Z
10 Year Birthday Sticker Capsule,CSMONEY,sellOrder,0.93,USD,1,2024-04-14T15:57:36.656Z
10 Year Birthday Sticker Capsule,DMARKET,sellOrder,1.01,USD,285,2024-04-14T16:02:22.792Z
10 Year Birthday Sticker Capsule,DMARKET,buyOrder,0.96,USD,14,2024-04-14T16:02:22.792Z
1st Lieutenant Farlow | SWAT,BITSKINS,sellOrder,5.75,USD,18,2024-04-14T15:15:17.944Z
1st Lieutenant Farlow | SWAT,BUFF163,sellOrder,4.83,USD,782,2024-04-14T15:58:07.245Z
1st Lieutenant Farlow | SWAT,BUFF163,buyOrder,4.72,USD,235,2024-04-14T15:58:07.245Z
1st Lieutenant Farlow | SWAT,SKINBARON,sellOrder,4.91,USD,46,2024-04-14T16:02:31.064Z
1st Lieutenant Farlow | SWAT,CSMONEY,sellOrder,2.54,USD,52,2024-04-14T15:51:50.338Z
1st Lieutenant Farlow | SWAT,MARKETCSGO,sellOrder,5.72,USD,53,2024-04-14T16:05:05.870Z
1st Lieutenant Farlow | SWAT,CSFLOAT,sellOrder,4.51,USD,21,2024-04-14T16:01:05.092Z
1st Lieutenant Farlow | SWAT,DMARKET,sellOrder,4.91,USD,29,2024-04-14T16:02:17.248Z
1st Lieutenant Farlow | SWAT,DMARKET,buyOrder,4.27,USD,22,2024-04-14T16:02:17.248Z
